output	ASV	DFP.024	DFP.025	DFP.026	DFP.027	DFP.028	DFP.029	DFP.030	DFP.031	DFP.032	DFP.000	DFP.001	DFP.002	DFP.003	DFP.004	DFP.005	DFP.006	DFP.007	DFP.008	DFP.009	DFP.010	DFP.011	DFP.012	DFP.013	DFP.014	DFP.015	DFP.016	DFP.017	DFP.018	DFP.019	DFP.020	DFP.021	DFP.022	DFP.023
11	Root (70.3%); Bacteria (70.3%); Bdellovibrionota (68.7%); Bdellovibrionia (68.7%); Bdellovibrionales (68.7%); Bdellovibrionaceae (68.7%); Bdellovibrio (68.7%)	ASV1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	440	5	0	0	10	0	0	0	0	0	0	0	0
12	Root (95.7%); Bacteria (95.7%); Proteobacteria (95.7%); Alphaproteobacteria (95.7%); Rhodobacterales (93.7%); Rhodobacteraceae (93.7%); unclassified_Rhodobacteraceae (93.7%)	ASV1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	0	0	0	0	0	0	0	0	0	0	0	0	0
13	Root (40.2%); unclassified_Root (40.2%)	ASV1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	Root (100%); Bacteria (100%); Proteobacteria (100%); Gammaproteobacteria (100%); Burkholderiales (100%); Comamonadaceae (100%); unclassified_Comamonadaceae (100%)	ASV101	2126	1756	3423	0	0	0	0	117	0	89	0	0	0	567	8752	40	294	759	227	137	0	0	3943	0	94	0	0	0	0	0	0	0	0
15	Root (95.5%); Bacteria (95.5%); Bdellovibrionota (95.5%); Oligoflexia (95.5%); Oligoflexales (95.5%); Oligoflexus (95.5%)	ASV1010	68	17	28	184	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	27	0	0	0	106	0	0	0	0	16	0	0	0	0
16	Root (99%); Bacteria (99%); Proteobacteria (99%); Alphaproteobacteria (99%); Acetobacterales (99%); Acetobacteraceae (99%); Roseococcus (61.7%)	ASV1011	475	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0
17	Root (92.5%); Bacteria (92.5%); Proteobacteria (92.5%); Alphaproteobacteria (92.5%); Acetobacterales (91.6%); Acetobacteraceae (91.6%); Roseomonas (89.9%)	ASV1012	0	0	0	0	0	0	59	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	Root (75.9%); Bacteria (75.9%); Proteobacteria (73.4%); Gammaproteobacteria (73.4%); Legionellales (62.1%); Legionellaceae (62.1%); Legionella (62.1%)	ASV1013	0	0	0	0	0	0	47	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	Root (80.7%); Bacteria (80.7%); Bacteroidota (80.7%); Bacteroidia (80.7%); Sphingobacteriales (78.1%); env.OPS 17 (78.1%)	ASV1014	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	499	0	0	0	0	0	0	0	0	0	0
20	Root (100%); Bacteria (100%); Bacteroidota (100%); Bacteroidia (100%); Chitinophagales (100%); Chitinophagaceae (100%); Terrimonas (86.2%)	ASV1015	167	39	0	11	0	0	19	16	6	0	9	0	0	0	0	0	0	0	0	56	124	0	0	15	0	0	0	0	58	0	0	20	10
21	Root (47.9%); unclassified_Root (47.9%)	ASV1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	396	146	0	0
22	Root (81.7%); Bacteria (81.7%); Proteobacteria (79.2%); Alphaproteobacteria (79.2%); Rhizobiales (77.6%); Beijerinckiaceae (76.1%); unclassified_Beijerinckiaceae (76.1%)	ASV1017	8	6	0	0	0	0	0	0	0	0	71	13	0	37	6	0	13	20	25	43	52	7	29	64	23	36	32	14	0	0	0	15	35
23	Root (57%); unclassified_Root (57%)	ASV1018	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	Root (92.3%); Bacteria (92.3%); Proteobacteria (92.3%); Alphaproteobacteria (92.3%); Acetobacterales (81.6%); Acetobacteraceae (81.6%); unclassified_Acetobacteraceae (81.6%)	ASV1019	15	19	18	0	76	0	26	0	0	0	0	45	0	68	23	0	0	0	0	40	71	23	0	0	0	33	13	0	57	20	0	0	0
25	Root (93.1%); Bacteria (93.1%); Proteobacteria (93.1%); Gammaproteobacteria (93.1%); Burkholderiales (93.1%); Oxalobacteraceae (86.6%); unclassified_Oxalobacteraceae (86.6%)	ASV102	0	0	0	0	0	5	0	0	0	0	170	14	70	333	10367	4080	357	415	6425	0	0	0	0	71	0	0	0	0	0	0	0	0	0
26	Root (93.7%); Bacteria (93.7%); Bacteroidota (93.7%); Bacteroidia (93.7%); Chitinophagales (93.7%); Chitinophagaceae (93.7%); Ferruginibacter (78.4%)	ASV1020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	547	0	0	0	0	0	0	0	0	0	0
27	Root (96.5%); Bacteria (96.5%); Planctomycetota (96.5%); Phycisphaerae (96.5%); Tepidisphaerales (96.5%); WD2101 soil group (96.5%)	ASV1021	43	21	170	0	0	0	17	40	0	0	0	0	0	0	0	0	0	0	0	27	147	0	30	0	9	42	0	0	0	0	0	0	0
28	Root (100%); Bacteria (100%); Proteobacteria (100%); Gammaproteobacteria (100%); Xanthomonadales (100%); Rhodanobacteraceae (100%); Dokdonella (91.2%)	ASV1022	0	0	32	181	12	0	0	12	26	0	0	0	0	0	0	0	0	0	0	178	0	0	16	0	0	16	0	0	60	12	0	0	0
29	Root (97.9%); Bacteria (97.9%); Cyanobacteria (97.9%); Cyanobacteriia (97.9%); Chloroplast (97.9%)	ASV1023	85	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	44	42	275	0	0	0	56	0	0	0	0	0	0	0	0	0	0
30	Root (99.3%); Bacteria (99.3%); Proteobacteria (99.3%); Alphaproteobacteria (99.3%); Sphingomonadales (99.3%); Sphingomonadaceae (99.3%); unclassified_Sphingomonadaceae (99.3%)	ASV1024	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	43	0	357	0	132	0	0	0	0	0	0
31	Root (100%); Bacteria (100%); Proteobacteria (100%); Alphaproteobacteria (100%); Rhizobiales (100%); Beijerinckiaceae (92.4%); unclassified_Beijerinckiaceae (92.4%)	ASV1025	28	57	44	26	9	0	24	42	30	0	0	0	0	0	0	0	0	0	0	21	83	0	0	16	0	48	45	0	69	0	0	0	0
32	Root (98.8%); Bacteria (98.8%); Proteobacteria (98.8%); Alphaproteobacteria (98.8%); Rickettsiales (98.8%); Rickettsiaceae (98.8%); unclassified_Rickettsiaceae (98.8%)	ASV1026	0	0	0	0	0	0	0	0	0	0	4	53	0	352	62	6	12	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	Root (27.7%); unclassified_Root (27.7%)	ASV1027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	541	0	0	0	0	0	0	0	0	0	0
34	Root (100%); Bacteria (100%); Verrucomicrobiota (100%); Verrucomicrobiae (100%); Opitutales (100%); Opitutaceae (100%); Lacunisphaera (99.1%)	ASV1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	541	0	0	0	0	0	0	0
35	Root (96.5%); Bacteria (96.5%); Bacteroidota (96.5%); Bacteroidia (96.5%); Cytophagales (96.5%); Spirosomaceae (96.5%); Dyadobacter (94.5%)	ASV1029	13	0	0	0	0	0	0	11	0	0	40	26	41	0	25	29	9	26	13	0	0	81	0	0	0	0	0	0	0	56	169	0	0
36	Root (100%); Bacteria (100%); Proteobacteria (100%); Gammaproteobacteria (100%); Pseudomonadales (100%); Moraxellaceae (100%); Alkanindiges (98.8%)	ASV103	5733	0	0	4279	23	0	2888	997	1102	0	0	0	0	0	0	0	0	0	0	1998	3389	1731	0	0	0	0	0	0	0	0	0	0	0
37	Root (100%); Bacteria (100%); Bacteroidota (100%); Bacteroidia (100%); Flavobacteriales (100%); Flavobacteriaceae (100%); Flavobacterium (100%)	ASV1030	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	34	0	332	44
38	Root (38.2%); unclassified_Root (38.2%)	ASV1031	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	231	0	0	0	0	0	0	0
39	Root (56.6%); unclassified_Root (56.6%)	ASV1032	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	Root (96.8%); Bacteria (96.8%); Verrucomicrobiota (96.8%); Verrucomicrobiae (96.8%); Verrucomicrobiales (96.8%); Rubritaleaceae (96.8%); Luteolibacter (87.5%)	ASV1033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394	143
41	Root (100%); Bacteria (100%); Bacteroidota (100%); Bacteroidia (100%); Cytophagales (100%); Cytophagaceae (100%); Cytophaga (100%)	ASV1034	75	0	0	125	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	286	0	0	0	0	0	0	0	0
42	Root (87%); Bacteria (87%); Proteobacteria (87%); Alphaproteobacteria (87%); Sphingomonadales (86.2%); Sphingomonadaceae (86.2%); unclassified_Sphingomonadaceae (86.2%)	ASV1035	62	21	0	19	18	0	0	37	0	0	17	9	0	21	7	0	0	34	25	15	6	9	0	36	0	71	0	9	9	100	0	11	0
43	Root (100%); Bacteria (100%); Proteobacteria (100%); Alphaproteobacteria (100%); Rhizobiales (98.9%); Beijerinckiaceae (81.5%); alphaI cluster (71.8%)	ASV1036	205	224	20	0	0	0	11	49	0	8	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
44	Root (98%); Bacteria (98%); Bacteroidota (98%); Bacteroidia (98%); Cytophagales (98%); Spirosomaceae (98%); Larkinella (98%)	ASV1037	110	232	88	0	0	0	29	0	32	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0
45	Root (80.3%); Bacteria (80.3%); Bdellovibrionota (76.9%); Bdellovibrionia (76.9%); Bacteriovoracales (76.9%); Bacteriovoracaceae (76.9%); Peredibacter (76.9%)	ASV1038	109	0	0	7	0	0	25	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	16	0	8	2	0	0	0	87	0
46	Root (100%); Bacteria (100%); Proteobacteria (100%); Gammaproteobacteria (100%); Xanthomonadales (100%); Xanthomonadaceae (100%); Pseudoxanthomonas (93.9%)	ASV1039	30	239	0	0	0	0	20	228	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	Root (100%); Bacteria (100%); Proteobacteria (100%); Gammaproteobacteria (100%); Burkholderiales (100%); Oxalobacteraceae (97.2%); unclassified_Oxalobacteraceae (97.2%)	ASV104	3006	1883	70	0	0	0	112	1051	47	103	52	0	0	341	9825	0	231	1822	51	530	531	837	171	339	304	323	0	35	0	0	0	0	0
48	Root (100%); Bacteria (100%); Proteobacteria (100%); Alphaproteobacteria (100%); Rhizobiales (100%); Xanthobacteraceae (100%); Tardiphaga (73.3%)	ASV1040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	252	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	Root (95.7%); Bacteria (95.7%); Proteobacteria (95.7%); Alphaproteobacteria (95.7%); Sphingomonadales (93.5%); Sphingomonadaceae (93.5%); unclassified_Sphingomonadaceae (93.5%)	ASV1041	118	112	23	37	41	0	0	36	19	7	24	42	0	0	0	0	24	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	Root (100%); Bacteria (100%); Verrucomicrobiota (100%); Verrucomicrobiae (100%); Opitutales (100%); Opitutaceae (100%); IMCC26134 (98.9%)	ASV1042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	123	0	0	147	11	9	58	145	0	0	0	0	0	0
51	Root (50.8%); unclassified_Root (50.8%)	ASV1043	38	0	489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	Root (100%); Bacteria (100%); Verrucomicrobiota (100%); Verrucomicrobiae (100%); Opitutales (100%); Opitutaceae (100%); Lacunisphaera (93.6%)	ASV1044	35	0	0	0	0	0	136	233	8	0	0	0	0	0	0	0	0	0	0	18	0	0	96	0	0	0	0	0	0	0	0	0	0
53	Root (81.6%); Bacteria (81.6%); Proteobacteria (80.9%); Alphaproteobacteria (80.9%); Rickettsiales (80.2%); SM2D12 (80.2%)	ASV1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	514	5
54	Root (100%); Bacteria (100%); Bacteroidota (100%); Bacteroidia (100%); Flavobacteriales (100%); Flavobacteriaceae (100%); Flavobacterium (97.8%)	ASV1046	63	125	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	81	0	0	0	0	0	0	0	0	76	86
55	Root (92%); Bacteria (92%); Proteobacteria (91.1%); Gammaproteobacteria (91.1%); Burkholderiales (90%); Comamonadaceae (85.4%); unclassified_Comamonadaceae (85.4%)	ASV1047	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	22	57	0	0	15	0	113	297	8	0	0	0	0	0
56	Root (85.6%); Bacteria (85.6%); Bacteroidota (85.6%); Bacteroidia (85.6%); Chitinophagales (85.6%); Chitinophagaceae (85.6%); Edaphobaculum (81.6%)	ASV1048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0
57	Root (100%); Bacteria (100%); Proteobacteria (98.8%); Gammaproteobacteria (98.8%); Burkholderiales (97.8%); Comamonadaceae (93.2%); unclassified_Comamonadaceae (93.2%)	ASV1049	389	13	0	0	0	0	0	103	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	Root (100%); Bacteria (100%); Proteobacteria (100%); Gammaproteobacteria (100%); Burkholderiales (100%); Oxalobacteraceae (90.4%); Undibacterium (81.9%)	ASV105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605	38	20353	0	0	0	0	39	0	140	5	0	0	0	0	0	0	0	0
59	Root (100%); Bacteria (100%); Cyanobacteria (100%); Cyanobacteriia (100%); Phormidesmiales (100%); Nodosilineaceae (100%); Nodosilinea PCC-7104 (97.9%)	ASV1050	12	21	69	0	0	0	22	112	35	0	0	0	0	0	0	0	3	0	0	0	13	0	0	4	0	31	0	0	174	23	0	0	0
60	Root (84.6%); Bacteria (84.6%); Bacteroidota (84.6%); Bacteroidia (84.6%); Flavobacteriales (84.6%); Flavobacteriaceae (83.8%); Flavobacterium (80%)	ASV1051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	20	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	Root (97%); Bacteria (97%); Cyanobacteria (97%); Cyanobacteriia (97%); Chloroplast (97%)	ASV1052	26	344	0	0	0	0	0	0	0	21	0	0	0	51	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	Root (90.2%); Bacteria (90.2%); Proteobacteria (84.2%); Alphaproteobacteria (84.2%); Rickettsiales (84.2%); Mitochondria (84.2%)	ASV1053	0	0	0	0	0	0	0	0	0	0	425	10	0	43	0	0	10	18	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	Root (49.3%); unclassified_Root (49.3%)	ASV1054	25	82	0	0	0	0	21	159	91	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	90	0	0	0	0	0	0	0
64	Root (100%); Bacteria (100%); Proteobacteria (100%); Alphaproteobacteria (100%); Caulobacterales (100%); Caulobacteraceae (100%); Caulobacter (93%)	ASV1055	71	224	36	0	0	0	0	14	14	10	41	0	0	0	0	0	0	0	0	32	0	0	24	21	6	16	0	0	0	0	0	0	0
65	Root (98.5%); Bacteria (98.5%); Proteobacteria (98.5%); Gammaproteobacteria (98.5%); Burkholderiales (97.5%); Comamonadaceae (90.4%); unclassified_Comamonadaceae (90.4%)	ASV1056	49	0	0	0	0	0	0	0	0	0	54	0	0	88	0	0	63	0	0	0	52	0	0	43	0	80	0	0	0	0	0	42	37
66	Root (100%); Bacteria (100%); Proteobacteria (100%); Gammaproteobacteria (100%); Alteromonadales (98.9%); Shewanellaceae (98.9%); Shewanella (98.9%)	ASV1057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507
67	Root (100%); Bacteria (100%); Bacteroidota (100%); Bacteroidia (100%); Flavobacteriales (100%); Flavobacteriaceae (100%); Flavobacterium (95.5%)	ASV1058	135	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	140	0	0	168	0	0	0	0	0	0	0	0	0	0
68	Root (100%); Bacteria (100%); Proteobacteria (100%); Gammaproteobacteria (100%); Burkholderiales (100%); Oxalobacteraceae (99.1%); Massilia (68.7%)	ASV1059	17	53	0	0	0	0	0	21	0	0	0	0	0	39	0	0	0	54	0	0	91	191	0	0	0	0	0	37	0	0	0	0	0
69	Root (96.7%); Bacteria (96.7%); Proteobacteria (96.7%); Alphaproteobacteria (96.7%); Rhizobiales (95.6%); Beijerinckiaceae (93%); Bosea (82.6%)	ASV106	2155	1056	125	1779	2318	17	921	4787	760	50	752	110	0	463	50	0	282	412	49	53	70	0	192	0	0	103	41	0	3442	905	286	0	0
70	Root (100%); Bacteria (100%); Myxococcota (100%); Polyangia (100%); Polyangiales (100%); Phaselicystidaceae (100%); Phaselicystis (100%)	ASV1060	47	0	250	0	0	0	31	54	0	5	0	0	0	0	0	0	0	0	0	51	0	0	0	37	0	0	27	0	0	0	0	0	0
71	Root (80.7%); Bacteria (80.7%); Bacteroidota (80.7%); Bacteroidia (80.7%); Flavobacteriales (80.7%); Flavobacteriaceae (80%); Flavobacterium (75.5%)	ASV1061	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	Root (87.1%); Bacteria (87.1%); Proteobacteria (86.4%); Gammaproteobacteria (86.4%); Legionellales (81.3%); Legionellaceae (81.3%); Legionella (81.3%)	ASV1062	0	0	0	46	13	15	48	269	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	Root (88%); Bacteria (88%); Bacteroidota (88%); Bacteroidia (88%); Sphingobacteriales (86.8%); Sphingobacteriaceae (86.8%); unclassified_Sphingobacteriaceae (86.8%)	ASV1063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	Root (82.5%); Bacteria (82.5%); Proteobacteria (81.5%); Gammaproteobacteria (81.5%); Burkholderiales (81.5%); unclassified_Burkholderiales (81.5%)	ASV1064	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	455	0	0	0	0	0	0	0
75	Root (93.2%); Bacteria (93.2%); Bacteroidota (93.2%); Bacteroidia (93.2%); Sphingobacteriales (93.2%); Sphingobacteriaceae (93.2%); unclassified_Sphingobacteriaceae (93.2%)	ASV1065	51	83	138	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	83
76	Root (54.4%); unclassified_Root (54.4%)	ASV1066	30	52	15	0	0	11	7	7	23	0	0	0	0	0	0	0	0	0	0	14	0	0	5	103	3	8	0	0	88	127	0	0	0
77	Root (96.6%); Bacteria (96.6%); Proteobacteria (96.6%); Alphaproteobacteria (96.6%); Rickettsiales (96.6%); SM2D12 (96.6%)	ASV1067	0	47	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	22	0	15	0	0	204	37	0	0	0	0	0
78	Root (94.5%); Bacteria (94.5%); Firmicutes (94.5%); Clostridia (94.5%); Clostridiales (93.5%); Clostridiaceae (93.5%); unclassified_Clostridiaceae (93.5%)	ASV1068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	316	0	0	0	0	132	0	0	0	0	0
79	Root (79.1%); Bacteria (79.1%); Bdellovibrionota (77.8%); Bdellovibrionia (77.8%); Bacteriovoracales (77.8%); Bacteriovoracaceae (77.8%); Peredibacter (70.8%)	ASV1069	0	0	0	22	55	0	0	0	0	0	375	0	0	0	0	0	10	10	12	0	0	0	0	5	0	0	0	0	0	0	0	0	0
80	Root (100%); Bacteria (100%); Proteobacteria (100%); Gammaproteobacteria (100%); Burkholderiales (98.8%); Comamonadaceae (98.8%); unclassified_Comamonadaceae (98.8%)	ASV107	770	673	389	646	1292	672	400	989	2836	0	1199	3472	79	1270	338	0	267	448	227	775	478	841	0	735	145	270	478	567	305	355	0	70	66
81	Root (86.2%); Bacteria (86.2%); Proteobacteria (81.5%); Gammaproteobacteria (81.5%); unclassified_Gammaproteobacteria (81.5%)	ASV1070	21	0	0	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	36
82	Root (98%); Bacteria (98%); Proteobacteria (98%); Gammaproteobacteria (98%); Enterobacterales (96.1%); unclassified_Enterobacterales (96.1%)	ASV1071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0	0	0	0	0	0	0	0
83	Root (92.6%); Bacteria (92.6%); Proteobacteria (92.6%); Alphaproteobacteria (92.6%); Sphingomonadales (91.8%); Sphingomonadaceae (91.8%); Sphingomonas (70.5%)	ASV1072	54	156	22	180	24	0	0	0	0	18	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0
84	Root (36.9%); unclassified_Root (36.9%)	ASV1073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	18	0	0	0	0	35	93	0	0	0	0	0	0
85	Root (100%); Bacteria (100%); Actinobacteriota (100%); Actinobacteria (100%); Corynebacteriales (99%); Nocardiaceae (99%); Rhodococcus (96.9%)	ASV1074	56	0	6	10	14	0	0	10	0	0	9	60	0	38	55	0	22	22	87	22	8	9	15	5	0	0	0	5	9	10	6	0	0
86	Root (45.9%); unclassified_Root (45.9%)	ASV1075	0	0	0	0	0	0	5	19	0	0	0	0	0	35	0	0	40	0	0	49	0	0	0	0	0	58	98	0	144	30	0	0	0
87	Root (80.3%); Bacteria (80.3%); Proteobacteria (80.3%); Gammaproteobacteria (80.3%); Legionellales (75.7%); Legionellaceae (75.7%); Legionella (75.7%)	ASV1077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477	0
88	Root (76.4%); Bacteria (76.4%); Proteobacteria (75.9%); Alphaproteobacteria (75.9%); Rickettsiales (75.9%); SM2D12 (75.9%)	ASV1078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	463	7	0	0	0	0	0	0	0	0
89	Root (97.8%); Bacteria (97.8%); Proteobacteria (97.8%); Alphaproteobacteria (97.8%); Sphingomonadales (97.8%); Sphingomonadaceae (97.8%); Sphingomonas (69%)	ASV1079	47	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	35	40	26	0	0	0	0	0	0	0	0
90	Root (61.3%); Bacteria (61.3%); unclassified_Bacteria (61.3%)	ASV108	211	676	123	304	155	0	158	630	2345	35	0	0	0	117	0	0	24	0	0	1606	10208	0	470	2585	367	341	7	0	371	80	0	0	0
91	Root (97%); Bacteria (97%); Verrucomicrobiota (97%); Verrucomicrobiae (97%); Opitutales (97%); Opitutaceae (97%); Lacunisphaera (97%)	ASV1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0	0	0	0	0	0	0	0	0	0
92	Root (74.5%); Bacteria (74.5%); Verrucomicrobiota (73.9%); Verrucomicrobiae (73.9%); Chthoniobacterales (66.5%); Chthoniobacteraceae (66%); unclassified_Chthoniobacteraceae (66%)	ASV1081	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	428	0	0	0	0	0	0	0
