sample	Observed	Shannon	FaithPD	field_code	lat	long	site	plant	level	taxa	Evenness
DFP.013	34	2.96516324981283	-2.12844707513977	SGP.2.0	44.635238	11.193586	SGP	5	0	Fungi	0.840856523067954
DFP.014	99	2.73356033286173	-2.05861751656861	SGP.2.1	44.635238	11.193586	SGP	5	1	Fungi	0.594883359305997
DFP.015	43	2.83624402809757	-1.1026078153366	SGP.2.2	44.635238	11.193586	SGP	5	2	Fungi	0.754079533355158
DFP.016	75	2.3758316138447	-2.13863788853892	SGP.3.0	44.635238	11.193586	SGP	6	0	Fungi	0.55028098546373
DFP.017	110	1.96284441335318	-4.27517178417799	SGP.3.1	44.635238	11.193586	SGP	6	1	Fungi	0.417583791571115
DFP.018	119	2.67390415928927	-3.56670535070927	SGP.3.2	44.635238	11.193586	SGP	6	2	Fungi	0.559496770305966
DFP.019	98	2.49272048477774	-4.12450808237443	SMS.1.0	44.571171	11.152831	SMS	7	0	Fungi	0.543672446178509
DFP.020	101	2.42067319436367	-2.43561921444859	SMS.1.1	44.571171	11.152831	SMS	7	1	Fungi	0.524509205237496
DFP.021	83	2.73134884286994	-2.43093706339409	SMS.1.2	44.571171	11.152831	SMS	7	2	Fungi	0.618114361955205
DFP.022	63	2.84540366583858	-2.43678134149773	SMS.2.0	44.571171	11.152831	SMS	8	0	Fungi	0.686775558543516
DFP.023	82	2.65792184759115	-3.77318113911607	SMS.2.1	44.571171	11.152831	SMS	8	1	Fungi	0.603152072653873
DFP.024	85	3.65527235448565	-0.969205792765154	ALB.1.0	44.685096	10.985169	ALB	9	0	Fungi	0.82276823983103
DFP.027	49	2.44516839679787	-0.190887376951169	ALB.2.0	44.685096	10.985169	ALB	10	0	Fungi	0.628283992964663
DFP.028	53	2.00484906849601	-1.52801455050515	ALB.2.1	44.685096	10.985169	ALB	10	1	Fungi	0.504962635531332
DFP.029	67	0.530828034271731	-3.42056618362678	ALB.2.2	44.685096	10.985169	ALB	10	2	Fungi	0.12624657313205
DFP.030	47	2.81208028112229	-0.457547012525414	ALB.3.0	44.685096	10.985169	ALB	11	0	Fungi	0.730382461148578
DFP.031	59	2.7186737803839	-0.448750589743086	ALB.3.1	44.685096	10.985169	ALB	11	1	Fungi	0.666744037984794
DFP.032	46	2.24559411906354	-1.58226042515344	ALB.3.2	44.685096	10.985169	ALB	11	2	Fungi	0.586525058503199
DFP.001	0	0	NA	TIV.1.0	44.61606	11.10986	TIV	1	0	Algae	0
DFP.002	0	0	NA	TIV.1.1	44.61606	11.10986	TIV	1	1	Algae	0
DFP.003	0	0	NA	TIV.1.2	44.61606	11.10986	TIV	1	2	Algae	0
DFP.004	0	0	NA	TIV.2.0	44.61606	11.10986	TIV	2	0	Algae	0
DFP.005	0	0	NA	TIV.2.1	44.61606	11.10986	TIV	2	1	Algae	0
DFP.006	0	0	NA	TIV.2.2	44.61606	11.10986	TIV	2	2	Algae	0
DFP.007	2	0.286835983056161	1.30610026726856	TIV.3.0	44.61606	11.10986	TIV	3	0	Algae	0.413816850303634
DFP.008	0	0	NA	TIV.3.1	44.61606	11.10986	TIV	3	1	Algae	0
DFP.009	0	0	NA	TIV.3.2	44.61606	11.10986	TIV	3	2	Algae	0
DFP.010	7	0.922358269231206	-0.187027019874955	SGP.1.0	44.635238	11.193586	SGP	4	0	Algae	0.473998385628949
DFP.011	4	1.13724567670483	-1.52023741750364	SGP.1.1	44.635238	11.193586	SGP	4	1	Algae	0.820349349027239
DFP.012	0	0	NA	SGP.1.2	44.635238	11.193586	SGP	4	2	Algae	0
DFP.013	1	0	0.898025735363369	SGP.2.0	44.635238	11.193586	SGP	5	0	Algae	NA
DFP.014	4	0.952627210352682	0.192768151687428	SGP.2.1	44.635238	11.193586	SGP	5	1	Algae	0.687175276095851
DFP.015	4	0.700137926577492	0.257990927254461	SGP.2.2	44.635238	11.193586	SGP	5	2	Algae	0.505042757305814
DFP.016	7	1.34786273067309	-0.322214148638949	SGP.3.0	44.635238	11.193586	SGP	6	0	Algae	0.692664423034865
DFP.017	1	0	1.70543214806125	SGP.3.1	44.635238	11.193586	SGP	6	1	Algae	NA
DFP.018	0	0	NA	SGP.3.2	44.635238	11.193586	SGP	6	2	Algae	0
DFP.019	3	0.720021061881915	0.306361013625913	SMS.1.0	44.571171	11.152831	SMS	7	0	Algae	0.655391414522428
DFP.020	3	0.167026172526796	1.52588213107896	SMS.1.1	44.571171	11.152831	SMS	7	1	Algae	0.152033774107231
DFP.021	0	0	NA	SMS.1.2	44.571171	11.152831	SMS	7	2	Algae	0
DFP.022	0	0	NA	SMS.2.0	44.571171	11.152831	SMS	8	0	Algae	0
DFP.023	0	0	NA	SMS.2.1	44.571171	11.152831	SMS	8	1	Algae	0
DFP.024	2	0.178844912716848	-0.718290646359809	ALB.1.0	44.685096	10.985169	ALB	9	0	Algae	0.258018668664815
DFP.027	6	1.54320366889819	-0.469868841920877	ALB.2.0	44.685096	10.985169	ALB	10	0	Algae	0.861278366544954
DFP.028	3	1.04865378935935	0.694869062925359	ALB.2.1	44.685096	10.985169	ALB	10	1	Algae	0.954525814225761
DFP.029	0	0	NA	ALB.2.2	44.685096	10.985169	ALB	10	2	Algae	0
DFP.030	2	0.559801334910009	-0.706482996872562	ALB.3.0	44.685096	10.985169	ALB	11	0	Algae	0.807622609757692
DFP.031	5	1.14814452201518	-0.0344055198806253	ALB.3.1	44.685096	10.985169	ALB	11	1	Algae	0.713382301451281
DFP.032	4	0.707990236995932	0.890834955642142	ALB.3.2	44.685096	10.985169	ALB	11	2	Algae	0.510707001955917
DFP.001	17	1.4190162626124	-1.85648653411073	TIV.1.0	44.61606	11.10986	TIV	1	0	Protists	0.500850479752731
DFP.002	11	1.12499473320969	-1.01464537694387	TIV.1.1	44.61606	11.10986	TIV	1	1	Protists	0.469159243930121
DFP.003	8	0.849528188903452	-1.62759057689439	TIV.1.2	44.61606	11.10986	TIV	1	2	Protists	0.408536701742131
DFP.004	12	1.37195231609396	-1.32842366118428	TIV.2.0	44.61606	11.10986	TIV	2	0	Protists	0.552114227796448
DFP.005	9	1.25344807166916	-0.724577096857368	TIV.2.1	44.61606	11.10986	TIV	2	1	Protists	0.570468801686517
DFP.006	9	0.531112526589022	-1.01635329871224	TIV.2.2	44.61606	11.10986	TIV	2	2	Protists	0.241719727727109
DFP.007	18	0.874649689008086	-1.12742622929252	TIV.3.0	44.61606	11.10986	TIV	3	0	Protists	0.302608024943035
DFP.008	17	1.76366581986042	-2.49588742087166	TIV.3.1	44.61606	11.10986	TIV	3	1	Protists	0.622496651570699
DFP.009	5	1.380777969948	-0.556070497000521	TIV.3.2	44.61606	11.10986	TIV	3	2	Protists	0.857925589598992
DFP.010	29	2.05560118569373	-0.336347119675736	SGP.1.0	44.635238	11.193586	SGP	4	0	Protists	0.610460526630352
DFP.011	12	1.9316584190028	-0.297099365176426	SGP.1.1	44.635238	11.193586	SGP	4	1	Protists	0.777356533360157
DFP.012	10	1.8349246057601	-1.36178732712437	SGP.1.2	44.635238	11.193586	SGP	4	2	Protists	0.796897630990113
DFP.013	16	2.02497667273296	-0.378611291573875	SGP.2.0	44.635238	11.193586	SGP	5	0	Protists	0.73035595091692
DFP.014	12	1.73551941655718	-0.845869955866113	SGP.2.1	44.635238	11.193586	SGP	5	1	Protists	0.698424392202114
DFP.015	17	1.12570416807017	-0.0891991591584131	SGP.2.2	44.635238	11.193586	SGP	5	2	Protists	0.397324179780453
DFP.016	20	1.60429966911136	-1.97561506302772	SGP.3.0	44.635238	11.193586	SGP	6	0	Protists	0.535528385922182
DFP.017	19	1.96063202706486	-1.86123167917734	SGP.3.1	44.635238	11.193586	SGP	6	1	Protists	0.665876264014108
DFP.018	14	1.30141100079906	-1.45513138828821	SGP.3.2	44.635238	11.193586	SGP	6	2	Protists	0.493134797109082
DFP.019	20	1.92086208908235	-2.2821134892512	SMS.1.0	44.571171	11.152831	SMS	7	0	Protists	0.641199517740459
DFP.020	25	1.21362223222	-1.01743080546665	SMS.1.1	44.571171	11.152831	SMS	7	1	Protists	0.377032945118252
DFP.021	9	0.768942376589872	-1.70526570302631	SMS.1.2	44.571171	11.152831	SMS	7	2	Protists	0.349960757093883
DFP.022	17	1.52037245549909	-0.382636223008263	SMS.2.0	44.571171	11.152831	SMS	8	0	Protists	0.536624768723709
DFP.023	17	1.24636165133539	-1.86708360751997	SMS.2.1	44.571171	11.152831	SMS	8	1	Protists	0.439910977389024
DFP.024	21	1.20242388342326	0.794728423447609	ALB.1.0	44.685096	10.985169	ALB	9	0	Protists	0.39494663219575
DFP.027	17	1.351296787029	-0.0863627802069602	ALB.2.0	44.685096	10.985169	ALB	10	0	Protists	0.476948476140661
DFP.028	8	1.38286819894296	-1.20605107074415	ALB.2.1	44.685096	10.985169	ALB	10	1	Protists	0.665019030939353
DFP.029	3	0.198255292031723	-0.0586106593807063	ALB.2.2	44.685096	10.985169	ALB	10	2	Protists	0.180459743693633
DFP.030	19	1.12047835118586	-0.769477257300219	ALB.3.0	44.685096	10.985169	ALB	11	0	Protists	0.38054052371738
DFP.031	19	0.485776990319533	1.06995044268914	ALB.3.1	44.685096	10.985169	ALB	11	1	Protists	0.164981170863678
DFP.032	8	1.45209975789756	-0.371581353903494	ALB.3.2	44.685096	10.985169	ALB	11	2	Protists	0.698312373198294
DFP.001	371	4.03339919370617	-8.97860152912458	TIV.1.0	44.61606	11.10986	TIV	1	0	Bacteria	0.681754806719454
DFP.002	252	3.58312813300984	-8.42444179327752	TIV.1.1	44.61606	11.10986	TIV	1	1	Bacteria	0.648010504574978
DFP.003	140	3.20432772376618	-6.28398449473208	TIV.1.2	44.61606	11.10986	TIV	1	2	Bacteria	0.648433749294678
DFP.004	380	3.48784316533866	-6.3753657646834	TIV.2.0	44.61606	11.10986	TIV	2	0	Bacteria	0.587162055932534
DFP.005	269	3.79555852726032	-7.93018659509027	TIV.2.1	44.61606	11.10986	TIV	2	1	Bacteria	0.67841900497295
DFP.006	137	3.13589204078257	-7.55742007092681	TIV.2.2	44.61606	11.10986	TIV	2	2	Bacteria	0.637378902084816
DFP.007	411	3.91182383580285	-5.16485906425832	TIV.3.0	44.61606	11.10986	TIV	3	0	Bacteria	0.649956509169107
DFP.008	375	3.78061342806753	-5.94117869138932	TIV.3.1	44.61606	11.10986	TIV	3	1	Bacteria	0.637870864509151
DFP.009	306	2.94619641540318	-8.41031907715577	TIV.3.2	44.61606	11.10986	TIV	3	2	Bacteria	0.514746677637098
DFP.010	782	5.11344213891947	-2.55317282248093	SGP.1.0	44.635238	11.193586	SGP	4	0	Bacteria	0.767570344606598
DFP.011	478	4.42364700239761	-5.00823598634289	SGP.1.1	44.635238	11.193586	SGP	4	1	Bacteria	0.717005852427779
DFP.012	319	3.27014508642128	-7.5825789977695	SGP.1.2	44.635238	11.193586	SGP	4	2	Bacteria	0.567222322403441
DFP.013	628	4.72507420859322	-5.90060002778547	SGP.2.0	44.635238	11.193586	SGP	5	0	Bacteria	0.733417888985162
DFP.014	546	4.49331396908038	-7.0432460715745	SGP.2.1	44.635238	11.193586	SGP	5	1	Bacteria	0.71292806789884
DFP.015	354	3.88454077155807	-3.91019852627529	SGP.2.2	44.635238	11.193586	SGP	5	2	Bacteria	0.661840903442047
DFP.016	485	4.5963795828109	-3.94221284747425	SGP.3.0	44.635238	11.193586	SGP	6	0	Bacteria	0.743251765743647
DFP.017	268	3.82919840211602	-7.33790673708528	SGP.3.1	44.635238	11.193586	SGP	6	1	Bacteria	0.684887733679921
DFP.018	237	3.48531922028302	-9.33061357646711	SGP.3.2	44.635238	11.193586	SGP	6	2	Bacteria	0.6373959192701
DFP.019	325	3.8425490094927	-4.48325954689089	SMS.1.0	44.571171	11.152831	SMS	7	0	Bacteria	0.664361194946233
DFP.020	288	4.01292862444402	-10.3307923033163	SMS.1.1	44.571171	11.152831	SMS	7	1	Bacteria	0.708627340508596
DFP.021	213	3.30860999157076	-5.57526705103291	SMS.1.2	44.571171	11.152831	SMS	7	2	Bacteria	0.617129208650943
DFP.022	465	3.50101123419706	-8.65629585091454	SMS.2.0	44.571171	11.152831	SMS	8	0	Bacteria	0.57000812645853
DFP.023	386	3.65609276282013	-8.95682144800154	SMS.2.1	44.571171	11.152831	SMS	8	1	Bacteria	0.613867124976358
DFP.024	940	5.19488761291639	-4.69062675969374	ALB.1.0	44.685096	10.985169	ALB	9	0	Bacteria	0.758834175821121
DFP.027	438	4.36604949400357	-7.45044681136707	ALB.2.0	44.685096	10.985169	ALB	10	0	Bacteria	0.717838268950655
DFP.028	300	3.56862368516437	-8.38925895630718	ALB.2.1	44.685096	10.985169	ALB	10	1	Bacteria	0.625659148296932
DFP.029	227	3.49973663817427	-8.98986146263383	ALB.2.2	44.685096	10.985169	ALB	10	2	Bacteria	0.645118688079464
DFP.030	501	3.73409386645535	-5.71159720993983	ALB.3.0	44.685096	10.985169	ALB	11	0	Bacteria	0.600664382741528
DFP.031	718	4.5198713101323	-5.35083932643414	ALB.3.1	44.685096	10.985169	ALB	11	1	Bacteria	0.687279286048067
DFP.032	395	4.44228110818731	-4.83103553105529	ALB.3.2	44.685096	10.985169	ALB	11	2	Bacteria	0.742994812556145
